strategy,test_ppl,raw_text_format_rate,raw_control_leak_rate,constrained_format_rate,raw_acrostic_rate,constrained_acrostic_rate,distinct_2,repeat_rate,nearest_4gram_jaccard
stable_t07,51.18494596174184,1.0,1.0,1.0,0.0,1.0,0.9966666666666667,0.003333333333333337,0.02196804577520185
balanced_t09_k20,51.18494596174184,1.0,1.0,1.0,0.0,1.0,0.9957407407407408,0.004259259259259264,0.023455684771595965
creative_t11_p095,51.18494596174184,1.0,1.0,1.0,0.0,1.0,0.9988888888888888,0.0011111111111111126,0.008033680863649808
