strategy,test_ppl,raw_text_format_rate,raw_control_leak_rate,constrained_format_rate,raw_acrostic_rate,constrained_acrostic_rate,distinct_2,repeat_rate,nearest_4gram_jaccard
stable_t07,83.69040594632143,1.0,0.0,1.0,0.0,1.0,0.9964814814814815,0.0035185185185185224,0.020668991926095136
balanced_t09_k20,83.69040594632143,1.0,0.0,1.0,0.0,1.0,0.9961111111111112,0.003888888888888892,0.02258806644767065
creative_t11_p095,83.69040594632143,1.0,0.0,1.0,0.0,1.0,0.9998148148148148,0.00018518518518518545,0.00721310263235729
