epoch,train_loss,train_ppl,val_loss,val_ppl,learning_rate
1,5.10476803276087,164.80583654240104,4.612895866462442,100.7755600545084,0.00029917828430524096
2,4.427414173951949,83.71466522802112,4.329901492122323,75.93680582715776,0.0002967221401100708
3,4.2057505908140564,67.07092159524235,4.22139418909863,68.1284019827897,0.00029265847744427303
4,4.072798915718971,58.72108817463703,4.155917476856251,63.81048234008127,0.0002870318186463901
5,3.9715147364933525,53.06484925738432,4.1170987058809745,61.38089963418722,0.0002799038105676658
6,3.886855483709999,48.757327006034856,4.087816613536297,59.60959872497963,0.0002713525491562421
7,3.80987969893363,45.14500754707933,4.064527500345053,58.237384876348315,0.00026147172382160914
8,3.7394158617922346,42.07340630135745,4.046226781997629,57.18129200261245,0.00025036959095382875
9,3.6781718648847646,39.57398131769348,4.03180293823339,56.3624376905122,0.000238167787843871
10,3.625301639324805,37.53604379904754,4.029175740017707,56.21455673612816,0.00022500000000000002
11,3.5793763575522726,35.85117555893664,4.028414992738617,56.171807927627476,0.0002110104964613701
12,3.540114581324529,34.47086868237537,4.030674939626409,56.29889678307612,0.00019635254915624216
13,3.5050591776239157,33.28341342744823,4.033600771319437,56.46385908785643,0.00018118675362266393
14,3.474061107776913,32.26751858768928,4.038178825824248,56.722946317533854,0.0001656792694901481
15,3.4456867221775345,31.364814966768975,4.044931463558331,57.10727197080417,0.0001500000000000001
16,3.4202344823944135,30.57658385112954,4.052317626971584,57.53063721135378,0.00013432073050985205
17,3.3972204157534733,29.880927952415973,4.057193978368401,57.81186193249462,0.00011881324637733612
18,3.377188823808822,29.288320646512307,4.06447508866624,58.234332637224455,0.00010364745084375793
19,3.358314030928904,28.740694087371608,4.071079091767356,58.62018503341982,8.898950353863e-05
20,3.341719687133495,28.267696524999558,4.075225422159865,58.86374828615107,7.500000000000006e-05
21,3.3272055485473695,27.860378346821484,4.078424312342875,59.052348447453916,6.183221215612908e-05
22,3.3142660234237744,27.50220060370295,4.082410737010134,59.28822602769434,4.963040904617134e-05
23,3.302806518852205,27.188837929884276,4.087285248970032,59.57793271025202,3.85282761783909e-05
24,3.29356158736154,26.938637311724076,4.089267364100712,59.696140143802026,2.8647450843757918e-05
25,3.2855183780526267,26.722833255346842,4.091047637211445,59.80251023272528,2.0096189432334208e-05
26,3.278989641046185,26.54893519001432,4.091840074962527,59.84991878112403,1.2968181353609862e-05
27,3.2737177426623334,26.40934019013272,4.09320633809,59.93174540395709,7.341522555726975e-06
28,3.2699750450253644,26.31068275265259,4.094302118174825,59.99745341120763,3.277859889929149e-06
29,3.267563283722336,26.247304123916226,4.094268502843146,59.99543661080921,8.217156947589904e-07
30,3.2661424570224904,26.21003773422803,4.094492065025353,60.008850820939536,0.0
