strategy,test_ppl,format_rate,acrostic_rate,distinct_2,repeat_rate,nearest_4gram_jaccard
stable_t07,83.77433168756477,1.0,1.0,0.9962962962962963,0.003703703703703707,0.01656684412895593
balanced_t09_k20,83.77433168756477,1.0,1.0,0.9968518518518519,0.0031481481481481525,0.020886461892805228
creative_t11_p095,83.77433168756477,1.0,1.0,1.0,0.0,0.007527728482697426
