epoch,train_loss,train_ppl,val_loss,val_ppl,learning_rate
1,5.156480316849585,173.5525294301602,4.688406216947234,108.67982963217952,0.00029815325108927063
2,4.515618311892634,91.4340833290407,4.50530323032712,90.49578095406967,0.00029265847744427303
3,4.315427627720337,74.84562266457567,4.436126099344603,84.4471672643783,0.0002836509786282552
4,4.184140008698604,65.63702936339382,4.404647028593121,81.83025400511922,0.0002713525491562421
5,4.08444650028183,59.409045759145,4.394288677522097,80.98700239375958,0.0002560660171779821
6,4.003733683692762,54.80238328950978,4.393486025346115,80.92202408104257,0.000238167787843871
7,3.9358304812351244,51.20465681027406,4.394035729773397,80.96651950448972,0.00021809857496093204
8,3.877272893988944,48.29233700780593,4.39939743652661,81.40180413036745,0.00019635254915624216
9,3.8265220795152994,45.90261465086767,4.4062563344308066,81.9620499321218,0.00017346516975603468
10,3.7824376366271246,43.922979608649634,4.411202117774903,82.3684205557103,0.00015000000000000001
11,3.744062145355883,42.26934612100909,4.4187506885792125,82.99253704049377,0.0001265348302439654
12,3.710210927151589,40.86242461289477,4.424630008563039,83.48191391397461,0.0001036474508437579
13,3.6813270112824554,39.69904020809784,4.429807623882544,83.91527206314235,8.190142503906799e-05
14,3.656673397571566,38.732281420850974,4.434154762956427,84.28085747080456,6.183221215612905e-05
15,3.6365408454339083,37.96029881061127,4.4391780240111665,84.7052873383348,4.393398282201788e-05
16,3.6200901946846464,37.34093562408547,4.441640107716261,84.91409579249157,2.86474508437579e-05
17,3.6073949841100936,36.86988097881928,4.443203525473847,85.04695582853049,1.6349021371744834e-05
18,3.5983198810098065,36.53679668080987,4.444725287742985,85.17647560117221,7.341522555726972e-06
19,3.591925845619545,36.30392439997778,4.44489559213183,85.1909827640751,1.8467489107293517e-06
20,3.5886905866382333,36.18666159256283,4.445193472214126,85.2163632410134,0.0
